avg_pts_for,avg_pts_let,avg_rsh,avg_pss,pss_rate,3rd_dn_rate,4th_dn_rate,pss_td,rsh_td,1st_dns,sacks,trnovrs,pens,pen_yrds,home_win
-11.0,-2.0,-0.7983695652173908,-1.0830721003134798,-0.08150470219435735,-0.11623376623376624,0.0,-2.0,-3.0,-16.0,2.0,2.0,-7.0,-19.0,0.0
-1.0,4.5,-1.8986972381448668,-2.1735377026074705,-0.043604651162790664,-0.24433797909407667,-1.0,0.0,-3.0,-11.0,-1.0,9.0,15.0,73.0,0.0
-7.75,-19.5,-0.9821428571428572,1.3764005602240905,0.09961484593837544,-0.007092198581560294,-0.16666666666666674,-3.0,0.0,-4.0,-3.0,-2.0,-4.0,-134.0,0.0
26.25,3.75,0.8554638659664913,6.477389277389277,0.1932141932141932,0.25641025641025644,0.0,9.0,5.0,40.0,4.0,3.0,-6.0,-90.0,1.0
-8.5,8.75,-0.9803519061583579,1.1523531432497425,0.06481163403183332,-0.06632653061224492,0.0,-2.0,-1.0,-26.0,5.0,-6.0,-7.0,-60.0,0.0
12.5,6.75,-1.2216690374585113,1.0889724310776945,0.1356516290726817,0.125,-0.5,7.0,-2.0,32.0,7.0,4.0,11.0,96.0,0.0
-5.25,-1.75,-1.342919580419581,0.69473518533092,-0.056268198630676,-0.08243451463790447,-1.0,-1.0,-3.0,-41.0,3.0,-4.0,1.0,30.0,1.0
-13.0,13.0,-0.3011679644048946,-1.5658869395711497,-0.08187134502923976,-0.05419580419580422,-0.5,-3.0,-2.0,-15.0,-10.0,-10.0,-3.0,8.0,0.0
20.5,7.5,1.2083333333333335,2.7255913978494632,0.042365591397849456,0.0330953926022064,-0.06666666666666671,4.0,3.0,35.0,5.0,6.0,1.0,47.0,0.0
5.25,-13.25,-1.2037981551817691,0.6802159415687523,-0.050227585476871006,0.033333333333333326,0.6666666666666667,0.0,-1.0,8.0,3.0,4.0,-2.0,-40.0,0.0
16.0,14.5,2.2990430622009566,1.038132393657186,0.020953939088849793,-0.05037115588547192,0.4,7.0,3.0,35.0,4.0,2.0,23.0,191.0,1.0
-10.75,4.5,0.26936122102882987,0.0009572901325478611,0.141678939617084,-0.01347708894878702,0.0,-1.0,-3.0,12.0,-6.0,-5.0,3.0,61.0,1.0
-0.5,-15.25,1.5827380952380956,-1.5119999999999996,-0.007999999999999896,0.13461538461538464,0.0,0.0,2.0,4.0,6.0,3.0,5.0,23.0,1.0
4.75,-1.5,-1.5416880671117963,-0.05583717357910878,-0.03548387096774186,0.08771929824561403,-0.16666666666666669,7.0,-1.0,8.0,5.0,6.0,18.0,103.0,1.0
-11.6,8.2,0.7123000262260688,-2.6110419261104196,-0.14030718140307186,-0.19491525423728812,0.5,-4.0,-3.0,-13.0,-5.0,0.0,3.0,14.0,0.0
-1.8000000000000007,3.1999999999999993,-0.3959459459459458,-0.8851235469732579,-0.004382900336657558,-0.07960199004975121,-0.41666666666666663,-3.0,2.0,-11.0,-7.0,5.0,13.0,57.0,1.0
4.800000000000001,-1.8000000000000007,-1.1433806688043973,-0.43112070326893726,0.0073169447807548416,0.14338235294117646,0.5,7.0,-5.0,0.0,2.0,4.0,5.0,39.0,0.0
3.4000000000000004,-7.6,0.13835294117647035,-1.3850574712643686,-0.056609195402298806,-0.0015873015873015817,0.0,-1.0,3.0,-3.0,9.0,8.0,6.0,-35.0,1.0
-8.0,1.8000000000000007,-0.7760882528324387,-2.831891272569239,-0.058472600845482114,-0.11576086956521742,0.36363636363636365,-3.0,-2.0,1.0,2.0,6.0,-3.0,-77.0,1.0
6.800000000000001,-2.3999999999999986,1.5490620490620497,-1.2168262653898774,-0.06292749658002739,0.07426376440460947,-0.8,1.0,0.0,-10.0,1.0,3.0,9.0,80.0,0.0
4.0,9.600000000000001,0.8633801812085329,1.25247134983816,0.017977429796168343,-0.13392181588902896,0.3333333333333333,2.0,2.0,3.0,-4.0,-1.0,6.0,76.0,0.0
7.0,15.8,0.8289993034594847,0.34117647058823497,0.0098229583095375,0.10824372759856632,0.0,9.0,-2.0,37.0,-2.0,-1.0,14.0,110.0,0.0
1.3999999999999986,14.8,-1.1687807545106619,0.14382485029940195,-0.06130239520958081,-0.18131868131868129,-0.8,-2.0,-3.0,-27.0,1.0,4.0,0.0,6.0,0.0
-2.5999999999999996,-6.6,-0.5319359003569528,1.1408721804511277,0.0304962406015038,0.015172413793103412,0.0714285714285714,1.0,-1.0,-20.0,-4.0,2.0,5.0,56.0,1.0
1.3999999999999986,1.2000000000000028,-0.25052410901467503,-0.6062973200336499,-0.049312983215158424,0.07407407407407407,-0.041666666666666685,-1.0,1.0,3.0,-13.0,1.0,-17.0,-112.0,1.0
-13.2,5.199999999999999,-1.1700826133568776,-1.9463915583192009,-0.07998869417750132,-0.043884220354808545,-0.4,-5.0,0.0,-46.0,-3.0,-8.0,3.0,60.0,0.0
-1.3999999999999986,11.600000000000001,-1.9751962323390893,0.810279187817259,0.020650669127826426,-0.004637681159420315,0.0,0.0,0.0,-2.0,1.0,-3.0,-2.0,-23.0,0.0
-6.399999999999999,0.7999999999999989,1.4374833259226323,1.7960113960113961,0.10427350427350435,0.10485175202156333,0.0,0.0,-3.0,-5.0,-12.0,-8.0,2.0,8.0,1.0
-4.0,-2.5,-1.0576710816777042,0.20325682663521683,0.0010432731561280661,0.05807577268195413,0.0,7.0,-7.0,-4.0,9.0,0.0,9.0,17.0,0.0
-1.166666666666666,-13.166666666666668,0.4119778104834144,2.0544946436888685,0.05024452724732176,0.030863178742366715,0.8571428571428572,3.0,-3.0,-8.0,-5.0,1.0,-8.0,-59.0,1.0
7.833333333333333,-8.333333333333332,0.031557856069460044,1.4644366622388603,0.06227106227106227,0.08062869973463971,0.0,-1.0,7.0,25.0,1.0,3.0,-8.0,-98.0,1.0
-3.5,5.166666666666666,-0.30254556882463923,1.7099955277280863,0.1144677996422182,0.02465676660128885,0.46666666666666673,-3.0,5.0,9.0,6.0,-8.0,4.0,50.0,1.0
